produto;marca;loja;data;qtd;valor
celular;Motorola;Eldorado;2025-2-20;25;7733.37
ar condicionado;Motorola;Eldorado;2025-2-20;7;3078.22
notebook;Samsung;Paulista;2025-2-20;24;3704.07
lavadora;HP;Eldorado;2025-2-20;29;9871.99
lavadora;HP;Cidade São Paulo;2025-2-20;15;8665.96
notebook;HP;Cidade São Paulo;2025-2-20;37;7346.20
ar condicionado;Hitachi;Paulista;2025-2-20;26;4427.07
smart tv;Midea;Eldorado;2025-2-20;2;5637.47
ar condicionado;HP;Eldorado;2025-2-20;37;5988.16
smart tv;Midea;Eldorado;2025-2-20;39;1200.58
lavadora;Midea;Paulista;2025-2-20;3;3629.67
ar condicionado;Hitachi;Paulista;2025-2-20;43;3021.58
celular;LG;Eldorado;2025-2-20;25;3960.70
smart tv;Motorola;Cidade São Paulo;2025-2-20;48;7731.49
geladeira;Motorola;Eldorado;2025-2-20;10;3682.02
celular;HP;Cidade São Paulo;2025-2-20;41;2363.74
celular;Hitachi;Eldorado;2025-2-20;20;9130.58
celular;Acer;Paulista;2025-2-20;44;9867.62
celular;LG;Cidade São Paulo;2025-2-20;18;4298.29
ar condicionado;Hitachi;Paulista;2025-2-20;44;1844.37
geladeira;Motorola;Eldorado;2025-2-21;3;8491.70
smart tv;LG;Eldorado;2025-2-21;47;1456.69
notebook;Acer;Paulista;2025-2-21;18;6345.19
celular;LG;Cidade São Paulo;2025-2-21;46;2931.93
notebook;LG;Cidade São Paulo;2025-2-21;14;6830.76
geladeira;LG;Paulista;2025-2-21;41;2851.30
lavadora;LG;Paulista;2025-2-21;38;4118.19
notebook;Samsung;Eldorado;2025-2-21;14;2045.76
ar condicionado;HP;Paulista;2025-2-21;45;3270.86
ar condicionado;Samsung;Cidade São Paulo;2025-2-21;6;7996.22
geladeira;HP;Paulista;2025-2-21;17;4070.44
smart tv;Samsung;Cidade São Paulo;2025-2-21;23;9832.55
ar condicionado;HP;Paulista;2025-2-21;49;2006.91
smart tv;Samsung;Cidade São Paulo;2025-2-21;6;4528.98
notebook;Motorola;Cidade São Paulo;2025-2-21;18;7277.11
ar condicionado;Acer;Cidade São Paulo;2025-2-21;41;6321.00
smart tv;Hitachi;Eldorado;2025-2-21;7;6521.53
lavadora;LG;Eldorado;2025-2-21;27;4101.57
geladeira;Acer;Paulista;2025-2-21;45;2401.13
notebook;Samsung;Paulista;2025-2-21;40;2946.89
geladeira;HP;Paulista;2025-2-22;11;7846.53
lavadora;Acer;Eldorado;2025-2-22;9;4556.36
notebook;Motorola;Cidade São Paulo;2025-2-22;47;6277.11
notebook;Samsung;Eldorado;2025-2-22;41;5932.65
celular;HP;Eldorado;2025-2-22;16;4638.68
smart tv;Samsung;Eldorado;2025-2-22;33;1124.24
notebook;Acer;Paulista;2025-2-22;10;2773.13
celular;Acer;Paulista;2025-2-22;45;6335.96
ar condicionado;HP;Cidade São Paulo;2025-2-22;29;7126.99
celular;HP;Eldorado;2025-2-22;23;7055.68
celular;Hitachi;Cidade São Paulo;2025-2-22;41;6182.98
lavadora;Motorola;Paulista;2025-2-22;50;7088.39
geladeira;LG;Eldorado;2025-2-22;10;6667.16
smart tv;HP;Paulista;2025-2-22;3;1122.05
geladeira;Samsung;Cidade São Paulo;2025-2-22;40;9742.34
geladeira;LG;Cidade São Paulo;2025-2-22;15;1352.30
notebook;LG;Paulista;2025-2-22;10;4572.51
lavadora;Hitachi;Cidade São Paulo;2025-2-22;33;2523.80
lavadora;Motorola;Cidade São Paulo;2025-2-22;23;2705.28
celular;Acer;Cidade São Paulo;2025-2-22;42;4150.74
celular;Midea;Paulista;2025-2-23;49;1231.56
smart tv;Midea;Cidade São Paulo;2025-2-23;40;6547.13
geladeira;Midea;Eldorado;2025-2-23;47;7740.46
geladeira;Midea;Cidade São Paulo;2025-2-23;25;6549.77
notebook;HP;Eldorado;2025-2-23;23;5435.30
ar condicionado;Motorola;Paulista;2025-2-23;50;1392.53
lavadora;HP;Cidade São Paulo;2025-2-23;5;3763.40
ar condicionado;Motorola;Eldorado;2025-2-23;19;1897.75
geladeira;LG;Eldorado;2025-2-23;1;9235.13
smart tv;Midea;Cidade São Paulo;2025-2-23;19;2570.78
lavadora;LG;Paulista;2025-2-23;50;1190.66
ar condicionado;Samsung;Paulista;2025-2-23;14;1098.46
notebook;Acer;Paulista;2025-2-23;4;1877.75
geladeira;LG;Paulista;2025-2-23;2;6342.88
lavadora;Midea;Eldorado;2025-2-23;9;5943.30
notebook;Hitachi;Eldorado;2025-2-23;14;2538.97
geladeira;LG;Eldorado;2025-2-23;44;1146.62
notebook;HP;Paulista;2025-2-23;1;2167.40
ar condicionado;Motorola;Eldorado;2025-2-23;46;9387.65
notebook;Samsung;Paulista;2025-2-23;32;7167.86
geladeira;Acer;Eldorado;2025-2-24;50;8357.63
smart tv;HP;Eldorado;2025-2-24;29;4349.16
ar condicionado;Hitachi;Eldorado;2025-2-24;10;3664.24
geladeira;Midea;Paulista;2025-2-24;41;9053.99
geladeira;Acer;Eldorado;2025-2-24;22;2314.61
smart tv;Acer;Paulista;2025-2-24;27;7075.79
lavadora;LG;Cidade São Paulo;2025-2-24;35;9503.33
smart tv;Midea;Paulista;2025-2-24;46;1017.71
smart tv;LG;Cidade São Paulo;2025-2-24;42;7165.42
notebook;LG;Eldorado;2025-2-24;48;5394.88
smart tv;Acer;Paulista;2025-2-24;22;9285.07
notebook;Motorola;Cidade São Paulo;2025-2-24;9;9400.53
lavadora;Samsung;Cidade São Paulo;2025-2-24;49;9031.15
celular;Acer;Eldorado;2025-2-24;1;8770.90
lavadora;HP;Paulista;2025-2-24;6;2340.33
notebook;Acer;Eldorado;2025-2-24;12;2201.61
celular;Motorola;Eldorado;2025-2-24;5;2341.81
celular;Midea;Cidade São Paulo;2025-2-24;37;5589.45
lavadora;Motorola;Eldorado;2025-2-24;29;9636.58
geladeira;LG;Cidade São Paulo;2025-2-24;12;5441.10
celular;Samsung;Paulista;2025-2-25;17;8583.53
ar condicionado;Midea;Cidade São Paulo;2025-2-25;42;4931.33
celular;LG;Cidade São Paulo;2025-2-25;39;2989.61
notebook;Hitachi;Eldorado;2025-2-25;28;6067.88
geladeira;HP;Cidade São Paulo;2025-2-25;3;9524.22
lavadora;Motorola;Cidade São Paulo;2025-2-25;32;3931.06
notebook;Samsung;Eldorado;2025-2-25;50;8230.31
geladeira;Hitachi;Eldorado;2025-2-25;5;3293.56
ar condicionado;HP;Paulista;2025-2-25;46;8184.38
lavadora;Hitachi;Cidade São Paulo;2025-2-25;15;6764.77
geladeira;Hitachi;Cidade São Paulo;2025-2-25;28;6241.58
ar condicionado;LG;Cidade São Paulo;2025-2-25;13;3432.33
notebook;Acer;Paulista;2025-2-25;1;3758.59
ar condicionado;Acer;Cidade São Paulo;2025-2-25;21;1448.05
geladeira;Hitachi;Cidade São Paulo;2025-2-25;29;2106.31
celular;Motorola;Cidade São Paulo;2025-2-25;42;2613.97
geladeira;HP;Eldorado;2025-2-25;32;6514.21
celular;Samsung;Eldorado;2025-2-25;7;6497.43
notebook;LG;Cidade São Paulo;2025-2-25;18;5597.30
celular;Acer;Cidade São Paulo;2025-2-25;27;6139.34
celular;HP;Paulista;2025-2-26;42;4866.99
geladeira;Hitachi;Cidade São Paulo;2025-2-26;32;6621.21
lavadora;Samsung;Eldorado;2025-2-26;49;7013.90
lavadora;Hitachi;Cidade São Paulo;2025-2-26;37;1811.07
notebook;LG;Eldorado;2025-2-26;23;3371.84
ar condicionado;Motorola;Paulista;2025-2-26;38;5727.37
smart tv;LG;Paulista;2025-2-26;45;3692.31
lavadora;HP;Eldorado;2025-2-26;19;4164.90
ar condicionado;HP;Eldorado;2025-2-26;47;3450.40
ar condicionado;Hitachi;Paulista;2025-2-26;31;2302.29
celular;Samsung;Cidade São Paulo;2025-2-26;34;1356.68
smart tv;Hitachi;Cidade São Paulo;2025-2-26;23;6454.06
geladeira;Midea;Paulista;2025-2-26;17;7551.14
smart tv;HP;Cidade São Paulo;2025-2-26;20;4805.85
notebook;Motorola;Eldorado;2025-2-26;44;7522.83
celular;Hitachi;Cidade São Paulo;2025-2-26;39;2325.97
geladeira;Midea;Paulista;2025-2-26;21;8480.51
geladeira;HP;Cidade São Paulo;2025-2-26;28;8186.45
smart tv;LG;Eldorado;2025-2-26;17;5926.85
celular;Acer;Paulista;2025-2-26;48;6269.30
ar condicionado;Hitachi;Eldorado;2025-2-27;41;6337.56
smart tv;HP;Eldorado;2025-2-27;20;3520.03
lavadora;Hitachi;Paulista;2025-2-27;18;2272.21
lavadora;Acer;Eldorado;2025-2-27;20;9199.33
smart tv;Samsung;Paulista;2025-2-27;46;3730.03
lavadora;Motorola;Eldorado;2025-2-27;40;9723.56
smart tv;HP;Paulista;2025-2-27;11;8853.74
notebook;Midea;Cidade São Paulo;2025-2-27;2;8120.12
ar condicionado;Samsung;Paulista;2025-2-27;16;2935.94
smart tv;Hitachi;Cidade São Paulo;2025-2-27;4;4345.86
lavadora;HP;Eldorado;2025-2-27;16;2276.46
notebook;LG;Eldorado;2025-2-27;43;9469.26
lavadora;Motorola;Paulista;2025-2-27;32;4699.58
geladeira;Acer;Cidade São Paulo;2025-2-27;28;5135.72
geladeira;HP;Eldorado;2025-2-27;39;8714.89
smart tv;HP;Eldorado;2025-2-27;17;6161.96
geladeira;Motorola;Eldorado;2025-2-27;31;2078.13
ar condicionado;Samsung;Eldorado;2025-2-27;41;4112.10
notebook;Samsung;Paulista;2025-2-27;23;2377.25
celular;Motorola;Paulista;2025-2-27;1;1265.67
geladeira;HP;Paulista;2025-2-28;35;2811.77
notebook;Acer;Paulista;2025-2-28;19;4059.83
notebook;LG;Paulista;2025-2-28;39;4310.49
geladeira;Motorola;Eldorado;2025-2-28;15;7108.55
notebook;LG;Paulista;2025-2-28;47;7733.73
notebook;LG;Eldorado;2025-2-28;45;5406.55
ar condicionado;HP;Cidade São Paulo;2025-2-28;1;6483.65
lavadora;LG;Paulista;2025-2-28;6;7877.02
lavadora;HP;Paulista;2025-2-28;26;2093.41
smart tv;Hitachi;Cidade São Paulo;2025-2-28;36;9716.73
lavadora;Midea;Paulista;2025-2-28;19;2994.94
geladeira;Hitachi;Cidade São Paulo;2025-2-28;20;2279.08
lavadora;Hitachi;Cidade São Paulo;2025-2-28;19;6394.85
ar condicionado;HP;Cidade São Paulo;2025-2-28;39;9128.73
smart tv;HP;Eldorado;2025-2-28;6;2632.12
smart tv;Motorola;Eldorado;2025-2-28;41;4124.43
ar condicionado;Hitachi;Cidade São Paulo;2025-2-28;29;2446.48
smart tv;Hitachi;Eldorado;2025-2-28;31;8514.19
lavadora;HP;Cidade São Paulo;2025-2-28;31;9547.63
geladeira;Motorola;Cidade São Paulo;2025-2-28;23;9958.56
celular;HP;Cidade São Paulo;2025-3-1;16;6443.63
lavadora;Motorola;Paulista;2025-3-1;4;7692.21
smart tv;Midea;Eldorado;2025-3-1;28;1363.19
smart tv;HP;Paulista;2025-3-1;17;6281.82
celular;HP;Eldorado;2025-3-1;50;4632.70
notebook;LG;Paulista;2025-3-1;20;4749.58
geladeira;Midea;Eldorado;2025-3-1;40;2374.24
lavadora;LG;Eldorado;2025-3-1;41;3855.30
geladeira;Acer;Eldorado;2025-3-1;11;4232.08
notebook;Acer;Paulista;2025-3-1;23;4461.25
geladeira;Acer;Eldorado;2025-3-1;19;5613.63
notebook;Samsung;Cidade São Paulo;2025-3-1;6;2141.50
lavadora;Motorola;Cidade São Paulo;2025-3-1;50;3209.35
ar condicionado;Motorola;Eldorado;2025-3-1;25;1047.28
ar condicionado;Motorola;Eldorado;2025-3-1;39;6034.14
lavadora;Midea;Paulista;2025-3-1;46;1980.71
lavadora;LG;Eldorado;2025-3-1;24;6082.57
celular;Hitachi;Cidade São Paulo;2025-3-1;2;1555.83
smart tv;LG;Eldorado;2025-3-1;48;3523.72
geladeira;Hitachi;Paulista;2025-3-1;46;5660.26
geladeira;Acer;Cidade São Paulo;2025-3-2;30;3890.62
notebook;Hitachi;Eldorado;2025-3-2;21;8934.67
lavadora;LG;Eldorado;2025-3-2;15;4661.49
smart tv;HP;Cidade São Paulo;2025-3-2;37;4407.54
smart tv;Hitachi;Cidade São Paulo;2025-3-2;1;2452.20
ar condicionado;HP;Eldorado;2025-3-2;48;5994.30
ar condicionado;Samsung;Eldorado;2025-3-2;38;6296.30
smart tv;LG;Paulista;2025-3-2;18;8041.76
smart tv;Hitachi;Paulista;2025-3-2;7;8806.32
notebook;Samsung;Cidade São Paulo;2025-3-2;38;5794.77
ar condicionado;LG;Paulista;2025-3-2;7;8765.53
lavadora;Samsung;Paulista;2025-3-2;34;7573.36
smart tv;Samsung;Eldorado;2025-3-2;11;3873.97
ar condicionado;LG;Paulista;2025-3-2;49;1846.83
geladeira;HP;Cidade São Paulo;2025-3-2;1;7469.91
lavadora;Hitachi;Cidade São Paulo;2025-3-2;20;5843.54
ar condicionado;HP;Eldorado;2025-3-2;9;3817.41
smart tv;LG;Eldorado;2025-3-2;20;9802.18
geladeira;LG;Paulista;2025-3-2;44;2810.54
geladeira;Motorola;Cidade São Paulo;2025-3-2;13;7580.62
notebook;Acer;Paulista;2025-3-3;49;6415.31
ar condicionado;LG;Eldorado;2025-3-3;19;9426.30
celular;Motorola;Eldorado;2025-3-3;10;1337.84
smart tv;Samsung;Cidade São Paulo;2025-3-3;9;7787.68
smart tv;Acer;Eldorado;2025-3-3;37;9348.65
ar condicionado;Acer;Eldorado;2025-3-3;10;4987.44
notebook;LG;Cidade São Paulo;2025-3-3;46;1068.21
smart tv;HP;Cidade São Paulo;2025-3-3;26;6049.84
lavadora;Motorola;Cidade São Paulo;2025-3-3;12;5113.76
geladeira;HP;Cidade São Paulo;2025-3-3;28;1571.22
lavadora;Hitachi;Eldorado;2025-3-3;43;5443.37
celular;Hitachi;Paulista;2025-3-3;36;9951.34
notebook;Midea;Paulista;2025-3-3;24;8668.27
lavadora;LG;Cidade São Paulo;2025-3-3;48;6403.74
lavadora;Samsung;Paulista;2025-3-3;4;8416.21
celular;Samsung;Cidade São Paulo;2025-3-3;30;6867.41
notebook;Hitachi;Cidade São Paulo;2025-3-3;43;9320.28
ar condicionado;Midea;Paulista;2025-3-3;31;5590.17
smart tv;Hitachi;Paulista;2025-3-3;47;1519.63
notebook;Hitachi;Paulista;2025-3-3;27;8969.42
celular;HP;Cidade São Paulo;2025-3-4;23;2663.38
notebook;Samsung;Cidade São Paulo;2025-3-4;7;2599.42
notebook;Midea;Cidade São Paulo;2025-3-4;26;9301.58
ar condicionado;Motorola;Cidade São Paulo;2025-3-4;19;8117.85
notebook;LG;Paulista;2025-3-4;23;5447.79
ar condicionado;LG;Paulista;2025-3-4;40;8429.54
geladeira;Hitachi;Eldorado;2025-3-4;7;5393.07
notebook;Midea;Eldorado;2025-3-4;34;8737.17
lavadora;HP;Cidade São Paulo;2025-3-4;22;8407.14
lavadora;Hitachi;Cidade São Paulo;2025-3-4;36;4798.52
ar condicionado;LG;Eldorado;2025-3-4;39;5678.26
smart tv;Samsung;Eldorado;2025-3-4;1;8206.13
smart tv;Hitachi;Paulista;2025-3-4;2;6297.21
lavadora;Acer;Cidade São Paulo;2025-3-4;27;2650.63
smart tv;Samsung;Eldorado;2025-3-4;22;8928.45
lavadora;Samsung;Cidade São Paulo;2025-3-4;46;7353.35
celular;Midea;Eldorado;2025-3-4;30;1720.24
notebook;Acer;Paulista;2025-3-4;14;3190.91
smart tv;Acer;Cidade São Paulo;2025-3-4;44;9268.82
notebook;Motorola;Cidade São Paulo;2025-3-4;37;3685.11
geladeira;Hitachi;Eldorado;2025-3-5;29;7486.22
smart tv;Midea;Cidade São Paulo;2025-3-5;15;9551.61
celular;LG;Paulista;2025-3-5;30;3806.37
notebook;Motorola;Eldorado;2025-3-5;21;8472.66
notebook;Acer;Paulista;2025-3-5;41;4366.28
lavadora;HP;Paulista;2025-3-5;44;5924.35
notebook;Samsung;Eldorado;2025-3-5;47;7390.41
lavadora;Acer;Paulista;2025-3-5;32;4211.02
smart tv;Hitachi;Eldorado;2025-3-5;10;3751.22
notebook;Samsung;Eldorado;2025-3-5;10;9682.39
ar condicionado;Motorola;Cidade São Paulo;2025-3-5;24;5774.87
geladeira;Hitachi;Cidade São Paulo;2025-3-5;26;7953.10
lavadora;LG;Cidade São Paulo;2025-3-5;18;8021.79
lavadora;Motorola;Cidade São Paulo;2025-3-5;42;3438.04
ar condicionado;LG;Cidade São Paulo;2025-3-5;39;4487.75
notebook;Motorola;Cidade São Paulo;2025-3-5;40;9723.98
notebook;Samsung;Eldorado;2025-3-5;44;3393.28
geladeira;Hitachi;Eldorado;2025-3-5;9;3258.53
lavadora;Hitachi;Eldorado;2025-3-5;33;7370.22
smart tv;Acer;Cidade São Paulo;2025-3-5;28;1334.09
celular;HP;Paulista;2025-3-6;8;5981.97
geladeira;Hitachi;Eldorado;2025-3-6;25;3010.39
lavadora;Acer;Cidade São Paulo;2025-3-6;9;2500.16
smart tv;Midea;Paulista;2025-3-6;46;6691.06
ar condicionado;Midea;Eldorado;2025-3-6;24;5893.68
smart tv;Motorola;Cidade São Paulo;2025-3-6;40;5003.24
notebook;Samsung;Paulista;2025-3-6;26;3203.00
lavadora;Hitachi;Eldorado;2025-3-6;35;6104.50
geladeira;Samsung;Eldorado;2025-3-6;36;2998.67
notebook;LG;Paulista;2025-3-6;17;7986.47
ar condicionado;HP;Cidade São Paulo;2025-3-6;25;1618.43
ar condicionado;Motorola;Paulista;2025-3-6;41;8934.74
ar condicionado;Acer;Cidade São Paulo;2025-3-6;29;7940.15
lavadora;Samsung;Eldorado;2025-3-6;32;5681.41
celular;Samsung;Paulista;2025-3-6;22;7244.87
celular;HP;Cidade São Paulo;2025-3-6;9;4514.62
ar condicionado;Samsung;Cidade São Paulo;2025-3-6;30;1494.97
ar condicionado;LG;Paulista;2025-3-6;44;8476.73
notebook;Samsung;Cidade São Paulo;2025-3-6;16;8714.25
geladeira;LG;Cidade São Paulo;2025-3-6;5;6712.25
smart tv;Motorola;Paulista;2025-3-7;3;4294.82
smart tv;Hitachi;Paulista;2025-3-7;6;1555.75
lavadora;LG;Paulista;2025-3-7;7;5795.60
notebook;Motorola;Cidade São Paulo;2025-3-7;47;8161.58
geladeira;LG;Eldorado;2025-3-7;22;5037.48
geladeira;Hitachi;Cidade São Paulo;2025-3-7;18;6987.26
geladeira;LG;Eldorado;2025-3-7;47;5905.43
notebook;Motorola;Paulista;2025-3-7;44;1270.62
notebook;LG;Paulista;2025-3-7;19;7509.61
geladeira;LG;Cidade São Paulo;2025-3-7;39;8528.22
geladeira;Acer;Paulista;2025-3-7;43;7499.77
smart tv;Acer;Cidade São Paulo;2025-3-7;21;5942.11
ar condicionado;HP;Eldorado;2025-3-7;11;1832.33
notebook;Motorola;Eldorado;2025-3-7;26;5773.84
notebook;LG;Paulista;2025-3-7;40;8442.66
ar condicionado;Hitachi;Paulista;2025-3-7;11;8272.16
smart tv;Acer;Eldorado;2025-3-7;3;1252.87
ar condicionado;LG;Cidade São Paulo;2025-3-7;14;2045.47
smart tv;HP;Cidade São Paulo;2025-3-7;32;5399.93
celular;Acer;Eldorado;2025-3-7;19;8610.71
geladeira;Hitachi;Eldorado;2025-3-8;11;9794.98
smart tv;LG;Cidade São Paulo;2025-3-8;41;3809.29
smart tv;Motorola;Eldorado;2025-3-8;32;2527.54
ar condicionado;Samsung;Paulista;2025-3-8;46;5052.99
geladeira;Samsung;Eldorado;2025-3-8;20;5774.28
geladeira;Acer;Eldorado;2025-3-8;12;4608.63
geladeira;Samsung;Cidade São Paulo;2025-3-8;2;1440.24
ar condicionado;Midea;Cidade São Paulo;2025-3-8;31;2329.47
smart tv;Hitachi;Cidade São Paulo;2025-3-8;42;3861.90
notebook;Motorola;Paulista;2025-3-8;25;8648.58
ar condicionado;Motorola;Eldorado;2025-3-8;39;6520.66
ar condicionado;HP;Paulista;2025-3-8;23;8915.47
ar condicionado;Acer;Eldorado;2025-3-8;35;7709.43
geladeira;Motorola;Cidade São Paulo;2025-3-8;31;6158.02
lavadora;LG;Cidade São Paulo;2025-3-8;40;6955.49
lavadora;HP;Eldorado;2025-3-8;23;1335.86
celular;HP;Paulista;2025-3-8;5;5106.89
smart tv;Hitachi;Cidade São Paulo;2025-3-8;2;6849.74
geladeira;HP;Cidade São Paulo;2025-3-8;16;8370.77
celular;HP;Paulista;2025-3-8;12;8669.61
geladeira;Hitachi;Eldorado;2025-3-9;12;6793.71
ar condicionado;Motorola;Paulista;2025-3-9;16;4604.77
lavadora;Samsung;Cidade São Paulo;2025-3-9;29;2651.69
notebook;Samsung;Eldorado;2025-3-9;33;5569.39
smart tv;Midea;Cidade São Paulo;2025-3-9;22;7729.50
lavadora;Midea;Cidade São Paulo;2025-3-9;11;9065.17
lavadora;Samsung;Paulista;2025-3-9;30;3562.88
smart tv;HP;Paulista;2025-3-9;1;8381.02
lavadora;Hitachi;Cidade São Paulo;2025-3-9;5;7996.99
smart tv;Hitachi;Cidade São Paulo;2025-3-9;19;5574.46
geladeira;LG;Paulista;2025-3-9;5;4776.82
smart tv;Hitachi;Eldorado;2025-3-9;39;9726.46
lavadora;Motorola;Eldorado;2025-3-9;37;8213.19
geladeira;LG;Eldorado;2025-3-9;26;2144.56
notebook;Hitachi;Paulista;2025-3-9;5;3019.99
geladeira;Midea;Paulista;2025-3-9;36;9448.36
celular;Samsung;Paulista;2025-3-9;8;1886.22
smart tv;Motorola;Paulista;2025-3-9;26;1012.93
smart tv;Motorola;Eldorado;2025-3-9;8;7615.70
ar condicionado;LG;Eldorado;2025-3-9;21;9995.06
geladeira;Midea;Cidade São Paulo;2025-3-10;36;7895.17
lavadora;Samsung;Eldorado;2025-3-10;40;9710.81
geladeira;Acer;Eldorado;2025-3-10;8;1678.79
lavadora;Samsung;Paulista;2025-3-10;24;9008.53
smart tv;Midea;Eldorado;2025-3-10;15;8449.91
notebook;LG;Paulista;2025-3-10;36;3964.21
celular;Acer;Paulista;2025-3-10;14;6449.99
celular;Samsung;Paulista;2025-3-10;18;9655.63
ar condicionado;Motorola;Paulista;2025-3-10;1;9512.31
notebook;Midea;Paulista;2025-3-10;49;7033.95
ar condicionado;HP;Eldorado;2025-3-10;16;1708.36
geladeira;LG;Paulista;2025-3-10;22;7918.89
notebook;Midea;Eldorado;2025-3-10;43;8556.56
notebook;Midea;Paulista;2025-3-10;46;5875.60
smart tv;Acer;Paulista;2025-3-10;13;3755.90
lavadora;Hitachi;Cidade São Paulo;2025-3-10;17;1982.25
ar condicionado;Acer;Paulista;2025-3-10;41;1859.81
notebook;Acer;Cidade São Paulo;2025-3-10;45;6429.49
smart tv;Hitachi;Eldorado;2025-3-10;28;8786.95
celular;LG;Paulista;2025-3-10;29;9757.46
celular;Motorola;Eldorado;2025-3-11;23;7062.09
notebook;Acer;Eldorado;2025-3-11;42;4676.77
geladeira;LG;Paulista;2025-3-11;21;3811.01
geladeira;Hitachi;Paulista;2025-3-11;23;4516.76
lavadora;LG;Eldorado;2025-3-11;5;8788.25
lavadora;Motorola;Paulista;2025-3-11;14;5896.28
lavadora;Hitachi;Paulista;2025-3-11;25;9350.63
lavadora;Samsung;Eldorado;2025-3-11;46;4090.35
ar condicionado;Motorola;Cidade São Paulo;2025-3-11;23;5624.13
celular;Hitachi;Paulista;2025-3-11;9;6534.44
ar condicionado;HP;Paulista;2025-3-11;10;3327.56
smart tv;Midea;Eldorado;2025-3-11;50;5266.71
notebook;HP;Cidade São Paulo;2025-3-11;11;7960.55
geladeira;Motorola;Paulista;2025-3-11;1;9486.04
lavadora;Samsung;Eldorado;2025-3-11;36;4476.35
lavadora;Motorola;Paulista;2025-3-11;6;8922.55
geladeira;Motorola;Paulista;2025-3-11;44;3148.90
celular;LG;Paulista;2025-3-11;25;4634.21
celular;Hitachi;Paulista;2025-3-11;6;1182.17
geladeira;LG;Cidade São Paulo;2025-3-11;11;6306.70
celular;Samsung;Eldorado;2025-3-12;14;5469.93
ar condicionado;HP;Eldorado;2025-3-12;34;9100.51
smart tv;LG;Cidade São Paulo;2025-3-12;39;8033.24
notebook;Hitachi;Paulista;2025-3-12;25;2627.24
smart tv;Samsung;Cidade São Paulo;2025-3-12;27;4059.31
geladeira;Acer;Eldorado;2025-3-12;24;5281.44
ar condicionado;Midea;Eldorado;2025-3-12;30;3672.68
notebook;HP;Eldorado;2025-3-12;38;1870.83
ar condicionado;Samsung;Paulista;2025-3-12;15;1177.18
notebook;Midea;Eldorado;2025-3-12;44;5670.30
celular;Midea;Paulista;2025-3-12;41;3104.82
geladeira;Samsung;Eldorado;2025-3-12;49;8954.08
smart tv;Motorola;Paulista;2025-3-12;50;3180.63
smart tv;LG;Cidade São Paulo;2025-3-12;45;1925.49
celular;Motorola;Cidade São Paulo;2025-3-12;7;6271.66
geladeira;Motorola;Paulista;2025-3-12;35;8898.99
lavadora;Motorola;Cidade São Paulo;2025-3-12;7;6094.58
smart tv;Midea;Eldorado;2025-3-12;19;7516.46
celular;Motorola;Cidade São Paulo;2025-3-12;43;5521.50
geladeira;Acer;Paulista;2025-3-12;15;7224.82
celular;Samsung;Paulista;2025-3-13;24;6730.58
celular;LG;Cidade São Paulo;2025-3-13;20;1452.25
smart tv;LG;Eldorado;2025-3-13;28;9506.68
celular;Samsung;Eldorado;2025-3-13;23;3903.04
notebook;LG;Paulista;2025-3-13;41;4641.91
notebook;Acer;Eldorado;2025-3-13;36;9154.92
smart tv;Motorola;Cidade São Paulo;2025-3-13;49;1738.68
smart tv;LG;Eldorado;2025-3-13;21;1062.47
notebook;Motorola;Eldorado;2025-3-13;28;3981.95
lavadora;Samsung;Eldorado;2025-3-13;47;1558.14
geladeira;Samsung;Eldorado;2025-3-13;6;9255.15
geladeira;HP;Paulista;2025-3-13;27;2164.03
notebook;Samsung;Cidade São Paulo;2025-3-13;28;3807.92
notebook;Hitachi;Paulista;2025-3-13;11;9711.86
ar condicionado;Motorola;Paulista;2025-3-13;14;8506.90
notebook;Motorola;Paulista;2025-3-13;33;1623.19
notebook;Hitachi;Cidade São Paulo;2025-3-13;12;1381.48
lavadora;Motorola;Eldorado;2025-3-13;11;4725.68
geladeira;Motorola;Eldorado;2025-3-13;5;1511.39
notebook;Motorola;Paulista;2025-3-13;30;8199.26
notebook;Midea;Eldorado;2025-3-14;2;9305.01
ar condicionado;Hitachi;Cidade São Paulo;2025-3-14;39;9446.16
ar condicionado;Motorola;Eldorado;2025-3-14;6;6054.78
lavadora;Hitachi;Eldorado;2025-3-14;18;9248.00
ar condicionado;Hitachi;Cidade São Paulo;2025-3-14;44;1455.56
geladeira;HP;Cidade São Paulo;2025-3-14;35;7437.94
ar condicionado;Acer;Paulista;2025-3-14;33;2872.56
geladeira;Samsung;Cidade São Paulo;2025-3-14;10;8219.86
ar condicionado;Samsung;Cidade São Paulo;2025-3-14;22;4802.52
notebook;LG;Cidade São Paulo;2025-3-14;5;5807.67
lavadora;Hitachi;Paulista;2025-3-14;13;5461.89
ar condicionado;Hitachi;Eldorado;2025-3-14;27;2137.14
ar condicionado;LG;Paulista;2025-3-14;49;8769.81
lavadora;Samsung;Paulista;2025-3-14;35;7193.85
smart tv;Midea;Eldorado;2025-3-14;26;2810.55
celular;Midea;Cidade São Paulo;2025-3-14;14;2925.10
geladeira;Samsung;Eldorado;2025-3-14;41;5817.28
ar condicionado;Acer;Eldorado;2025-3-14;19;4261.38
lavadora;HP;Cidade São Paulo;2025-3-14;16;1345.47
celular;Acer;Paulista;2025-3-14;49;9268.01
ar condicionado;Midea;Eldorado;2025-3-15;43;7424.06
geladeira;HP;Paulista;2025-3-15;18;9582.69
notebook;Acer;Paulista;2025-3-15;18;1946.53
